"actor_id","first_name","last_name","birth_date","nationality"
1,Leonardo,DiCaprio,1974-11-11,American
2,Joseph,Gordon-Levitt,1981-02-17,American
3,Ellen,Page,1987-02-21,Canadian
4,Christian,Bale,1974-01-30,British
5,Heath,Ledger,1979-04-04,Australian
6,Matthew,McConaughey,1969-11-04,American
7,Anne,Hathaway,1982-11-12,American
8,Keanu,Reeves,1964-09-02,Canadian
9,Laurence,Fishburne,1961-07-30,American
10,Tom,Hanks,1956-07-09,American
11,Sam,Worthington,1976-08-02,Australian
12,Zoe,Saldana,1978-06-19,American
13,Kate,Winslet,1975-10-05,British
14,Al,Pacino,1940-04-25,American
15,Marlon,Brando,1924-04-03,American
16,John,Travolta,1954-02-18,American
17,Samuel L.,Jackson,1948-12-21,American
18,Tim,Robbins,1958-10-16,American
19,Morgan,Freeman,1937-06-01,American
20,Russell,Crowe,1964-04-07,New Zealander
21,Chris,Pratt,1979-06-21,American
22,Scarlett,Johansson,1984-11-22,American
23,Robert,Downey Jr.,1965-04-04,American
24,Brad,Pitt,1963-12-18,American
25,Matt,Damon,1970-10-08,American
26,Tom,Cruise,1962-07-03,American
27,Will,Smith,1968-09-25,American
28,Jennifer,Lawrence,1990-08-15,American
29,Chris,Hemsworth,1983-08-11,Australian
30,Emma,Stone,1988-11-06,American
1000,George,Clooney,1961-05-06,American
