"title","duration","avg_duration"
Inception,148,131.6333333333333333
The Dark Knight,152,131.6333333333333333
Forrest Gump,142,131.6333333333333333
Avatar,162,131.6333333333333333
The Matrix,136,131.6333333333333333
Titanic,195,131.6333333333333333
The Godfather,175,131.6333333333333333
Pulp Fiction,154,131.6333333333333333
The Shawshank Redemption,142,131.6333333333333333
Gladiator,155,131.6333333333333333
Braveheart,178,131.6333333333333333
The Lion King,88,131.6333333333333333
Die Hard,132,131.6333333333333333
Toy Story,81,131.6333333333333333
The Departed,151,131.6333333333333333
The Prestige,130,131.6333333333333333
Memento,113,131.6333333333333333
Se7en,127,131.6333333333333333
Up,96,131.6333333333333333
Mad Max: Fury Road,120,131.6333333333333333
Coco,105,131.6333333333333333
Finding Nemo,100,131.6333333333333333
The Incredibles,115,131.6333333333333333
"Monsters, Inc.",92,131.6333333333333333
The Avengers,143,131.6333333333333333
Jurassic Park,127,131.6333333333333333
Back to the Future,116,131.6333333333333333
The Social Network,120,131.6333333333333333
Parasite,132,131.6333333333333333
Joker,122,131.6333333333333333
