"title","rating","place"
The Shawshank Redemption,9.3,1
The Godfather,9.2,2
The Dark Knight,9.0,3
Pulp Fiction,8.9,4
Forrest Gump,8.8,5
Inception,8.8,6
The Matrix,8.7,7
Parasite,8.6,8
Se7en,8.6,9
Back to the Future,8.5,10
Gladiator,8.5,11
Joker,8.5,12
The Departed,8.5,13
The Lion King,8.5,14
The Prestige,8.5,15
Coco,8.4,16
Memento,8.4,17
Braveheart,8.3,18
Toy Story,8.3,19
Die Hard,8.2,20
Up,8.2,21
Finding Nemo,8.1,22
Jurassic Park,8.1,23
Mad Max: Fury Road,8.1,24
"Monsters, Inc.",8.1,25
The Avengers,8.0,26
The Incredibles,8.0,27
Avatar,7.8,28
Titanic,7.8,29
The Social Network,7.7,30
